Fecha,Agente,Tipo de ejercicio,Musculo,Numero de practica,Sensor,Valor de Sensor,Tiempo
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,16806
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,16891
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,16926
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,16977
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17012
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17047
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,17090
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17124
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,17158
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17192
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17226
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17258
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17291
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,17345
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17377
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17410
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17443
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17476
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17509
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17542
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17576
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17627
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17680
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17712
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17745
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17795
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,17829
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17865
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17898
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,17934
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,17996
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18020
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18049
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18083
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18118
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18149
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18201
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18236
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18264
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18298
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18332
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18366
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18400
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18433
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18467
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18500
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18533
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18564
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18598
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18633
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18667
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18701
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18734
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18770
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,18808
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18839
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,63,18880
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,64,18915
